index,town_name,district_name,番地詳細
201,高根台,7丁目,"20,25～32  パールハイツ"
202,高根町,,
203,滝台,1丁目,
204,滝台,2丁目,
205,滝台町,,
206,田喜野井,1～6丁目,
207,田喜野井,7丁目,
208,坪井町,,
209,坪井西,1～2丁目,
210,坪井東,1～6丁目,
211,豊富町,,
212,高瀬町,,ウェリス南船橋
213,高根台,1丁目,下記以外
214,高根台,1丁目,アートヒル高根台  ヴィークステージ
215,高根台,2丁目,団地以外
216,高根台,2丁目,アートヒル高根台
217,高根台,3丁目,団地以外
218,高根台,3丁目,高根台団地  ヴィークステージ
219,高根台,4丁目,団地以外
220,高根台,4丁目,高根台団地（分譲）
221,高根台,5丁目,高根台団地
222,高根台,6丁目,
223,高根台,7丁目,"1～19,22～24,33  ライオンズマンション"
224,高根台,7丁目,"20,25～32  パールハイツ"
225,高根町,,
226,滝台,1丁目,
227,滝台,2丁目,
228,滝台町,,
229,田喜野井,1～6丁目,
230,田喜野井,7丁目,
231,坪井町,,
232,坪井西,1～2丁目,
233,坪井東,1～6丁目,
234,豊富町,,
235,中野木,1・2丁目,
236,夏見,1・2丁目,
237,夏見,3丁目,
238,夏見,4丁目,
239,夏見,5～7丁目,
240,夏見台,1・2丁目,
241,夏見台,3丁目,
242,夏見台,4丁目,
243,夏見台,5丁目,
244,夏見台,6丁目,
245,夏見町,2丁目,
246,七林町,,下記以外
247,七林町,,"126の一部,127の一部  （星和町会のみ）"
248,習志野,1～4丁目,
249,習志野,5丁目,1～3
250,習志野,5丁目,4～12
251,習志野台,1丁目,
252,習志野台,2丁目,5～73
253,習志野台,2丁目,1～4
254,習志野台,3丁目,"6～8,13～18"
255,習志野台,3丁目,"2,3,5,9～12（団地）"
256,習志野台,3丁目,4
257,習志野台,4丁目,13～84
258,習志野台,4丁目,"10,11,12の一部"
259,習志野台,4丁目,1～9
260,習志野台,4丁目,12の一部  （セントラルマンション）
261,習志野台,4丁目,700番台　飛び地
262,習志野台,5丁目,22～46
263,習志野台,5丁目,1～21
264,習志野台,6丁目,1～3
265,習志野台,6丁目,"4～6,9～28"
266,習志野台,6丁目,"7,8（団地）"
267,習志野台,7丁目,下記以外
268,習志野台,7丁目,7－4－1のみ
269,習志野台,7丁目,2223
270,習志野台,8丁目,
271,西浦,1～3丁目,
272,西習志野,1・2丁目,
273,西習志野,3丁目,1～34
274,西習志野,3丁目,35～39
275,西習志野,4丁目,"1～10,12～18"
276,西習志野,4丁目,19～24（みゆき町会内）
277,西習志野,4丁目,11の一部（みゆき町会内）
278,西船,1丁目,下記以外
279,西船,1丁目,"1の一部,2の一部  （海神6丁目町会）"
280,西船,2丁目,"2～20,32～35"
281,西船,2丁目,"21,23～30"
282,西船,3・4丁目,
283,西船,5丁目,10～21
284,西船,5丁目,"1～9,22～27"
285,西船,6丁目,8～10
286,西船,6丁目,1～7
287,西船,7丁目,7～11
288,西船,7丁目,1～6
289,二宮,1丁目,
290,二宮,2丁目,
291,中野木,1・2丁目,
292,夏見,1・2丁目,
293,夏見,3丁目,
294,夏見,4丁目,
295,夏見,5～7丁目,
296,夏見台,1・2丁目,
297,夏見台,3丁目,
298,夏見台,4丁目,
299,夏見台,5丁目,
300,夏見台,6丁目,
301,夏見町,2丁目,
302,七林町,,下記以外
303,七林町,,"126の一部,127の一部  （星和町会のみ）"
304,習志野,1～4丁目,
305,習志野,5丁目,1～3
306,習志野,5丁目,4～12
307,習志野台,1丁目,
308,習志野台,2丁目,5～73
309,習志野台,2丁目,1～4
310,習志野台,3丁目,"6～8,13～18"
311,習志野台,3丁目,"2,3,5,9～12（団地）"
312,習志野台,3丁目,4
313,習志野台,4丁目,13～84
314,習志野台,4丁目,"10,11,12の一部"
315,習志野台,4丁目,1～9
316,習志野台,4丁目,12の一部  （セントラルマンション）
317,習志野台,4丁目,700番台　飛び地
318,習志野台,5丁目,22～46
319,習志野台,5丁目,1～21
320,習志野台,6丁目,1～3
321,習志野台,6丁目,"4～6,9～28"
322,習志野台,6丁目,"7,8（団地）"
323,習志野台,7丁目,下記以外
324,習志野台,7丁目,7－4－1のみ
325,習志野台,7丁目,2223
326,習志野台,8丁目,
327,西浦,1～3丁目,
328,西習志野,1・2丁目,
329,西習志野,3丁目,1～34
330,西習志野,3丁目,35～39
331,西習志野,4丁目,"1～10,12～18"
332,西習志野,4丁目,19～24（みゆき町会内）
333,西習志野,4丁目,11の一部（みゆき町会内）
334,西船,1丁目,下記以外
335,西船,1丁目,"1の一部,2の一部  （海神6丁目町会）"
336,西船,2丁目,"2～20,32～35"
337,西船,2丁目,"21,23～30"
338,西船,3・4丁目,
339,西船,5丁目,10～21
340,西船,5丁目,"1～9,22～27"
341,西船,6丁目,8～10
342,西船,6丁目,1～7
343,西船,7丁目,7～11
344,西船,7丁目,1～6
345,二宮,1丁目,
346,二宮,2丁目,
347,飯山満町,1丁目,"1～836,1000番台"
348,飯山満町,1丁目,"447の1,837～900番台"
349,飯山満町,2丁目,100～640
350,飯山満町,2丁目,641～
351,飯山満町,2丁目,"845～847,849,851,852  855,950,953,970"
352,飯山満町,2丁目,"380の一部,385の一部"
353,飯山満町,3丁目,下記以外
354,飯山満町,3丁目,"1390番台,1400番台～1520番台  1380番台及び1530番台の一部  （飯山満七林線の南側）"
355,浜町,1丁目,7～43（一般）
356,浜町,1丁目,1～6（船橋ファミリータウン）
357,浜町,2丁目,
358,浜町,2丁目,ワンダーベイシティSAZANのみ
359,浜町,3丁目,
360,東中山,1・2丁目,
361,東船橋,1丁目,
362,東船橋,2・3丁目,
363,東船橋,4丁目,
364,東船橋,5・6丁目,
365,東船橋,7丁目,"1～3,9～17"
366,東船橋,7丁目,"4～8,18～22"
367,日の出,1・2丁目,
368,藤原,1～8丁目,
369,二子町,,
370,二和西,1～6丁目,
371,二和東,1～6丁目,
372,本郷町,,"472～636,639,651,691,704～746"
373,本郷町,,"400～465,637,638,640～650  653～689,692～694"
374,本町,1丁目,"14,18～23,25,26,29"
375,本町,1丁目,"1～13,15,16,27,28,30～32"
376,本町,1丁目,"25のソシアルハイム,27の北西,  29-4のそばの全3か所"
377,本町,2丁目,12～22
378,本町,2丁目,1123
379,本町,2丁目,"1～9,24～29"
380,本町,3・4丁目,
381,本町,5・6丁目,
382,本町,7丁目,2～24
383,本町,7丁目,252627
384,飯山満町,1丁目,"1～836,1000番台"
385,飯山満町,1丁目,"447の1,837～900番台"
386,飯山満町,2丁目,100～640
387,飯山満町,2丁目,641～
388,飯山満町,2丁目,"845～847,849,851,852  855,950,953,970"
389,飯山満町,2丁目,"380の一部,385の一部"
390,飯山満町,3丁目,下記以外
391,飯山満町,3丁目,"1390番台,1400番台～1520番台  1380番台及び1530番台の一部  （飯山満七林線の南側）"
392,浜町,1丁目,7～43（一般）
393,浜町,1丁目,1～6（船橋ファミリータウン）
394,浜町,2丁目,
395,浜町,2丁目,ワンダーベイシティSAZANのみ
396,浜町,3丁目,
397,東中山,1・2丁目,
398,東船橋,1丁目,
399,東船橋,2・3丁目,
400,東船橋,4丁目,
401,東船橋,5・6丁目,
402,東船橋,7丁目,"1～3,9～17"
403,東船橋,7丁目,"4～8,18～22"
404,日の出,1・2丁目,
405,藤原,1～8丁目,
406,二子町,,
407,二和西,1～6丁目,
408,二和東,1～6丁目,
409,本郷町,,"472～636,639,651,691,704～746"
410,本郷町,,"400～465,637,638,640～650  653～689,692～694"
411,本町,1丁目,"14,18～23,25,26,29"
412,本町,1丁目,"1～13,15,16,27,28,30～32"
413,本町,1丁目,"25のソシアルハイム,27の北西,  29-4のそばの全3か所"
414,本町,2丁目,12～22
415,本町,2丁目,1123
416,本町,2丁目,"1～9,24～29"
417,本町,3・4丁目,
418,本町,5・6丁目,
419,本町,7丁目,2～24
420,本町,7丁目,252627
421,前貝塚町,,"100番台,208～211  819～822,844,845,855,856  860番台,870～872,885"
422,前貝塚町,,上記下記以外
423,前貝塚町,,340番台
424,前原西,1～3丁目,
425,前原西,4・5丁目,
426,前原西,6丁目,下記以外
427,前原西,6丁目,前原団地（アルビス前原）
428,前原西,6丁目,パークホームズ津田沼前原の丘  パークハウス木々津田沼前原  ローレルコート津田沼  ミリアビタNO.26
429,前原西,7丁目,
430,前原西,8丁目,"5～19,25～28"
431,前原西,8丁目,"1～4,22～24"
432,前原東,1丁目,9～16
433,前原東,1丁目,1～8
434,前原東,2丁目,
435,前原東,3丁目,134
436,前原東,3丁目,"5～8,10～15  17～36"
437,前原東,4丁目,1～17
438,前原東,4丁目,18～21
439,前原東,5丁目,1～7
440,前原東,5丁目,8～49
441,前原東,6丁目,"1～5,9～15"
442,前原東,6丁目,"6,7,8,16～37"
443,馬込町,,"912,913  943,945"
444,馬込町,,船橋・我孫子線の東側
445,馬込町,,船橋・我孫子線の西側
446,馬込西,1丁目,旧馬込町馬込沢駅駅前  （印西線北側）
447,馬込西,2・3丁目,
448,松が丘,1～3丁目,
449,松が丘,4・5丁目,
450,丸山,1～5丁目,
451,三咲,1丁目,
452,三咲,2・3丁目,
453,三咲,4～8丁目,
454,三咲,9丁目,
